stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
SMM       Sta. Maria, Val Müstair              fkl010h0         MeteoSchweiz                                       10d26'/46d36'            828861/165579    1386
SMM       Sta. Maria, Val Müstair              dkl010h0         MeteoSchweiz                                       10d26'/46d36'            828861/165579    1386
STK       Steckborn                            fkl010h0         MeteoSchweiz                                       8d59'/47d40'             715870/280916    397
STK       Steckborn                            dkl010h0         MeteoSchweiz                                       8d59'/47d40'             715870/280916    397
THU       Thun                                 fkl010h0         MeteoSchweiz                                       7d35'/46d45'             611200/177640    570
THU       Thun                                 dkl010h0         MeteoSchweiz                                       7d35'/46d45'             611200/177640    570
TIT       Titlis                               fkl010h0         MeteoSchweiz                                       8d26'/46d46'             675400/180400    3040
TIT       Titlis                               dkl010h0         MeteoSchweiz                                       8d26'/46d46'             675400/180400    3040
VAB       Valbella                             fkl010h0         MeteoSchweiz                                       9d33'/46d45'             761634/180385    1568
VAB       Valbella                             dkl010h0         MeteoSchweiz                                       9d33'/46d45'             761634/180385    1568
VLS       Vals                                 fkl010h0         MeteoSchweiz                                       9d11'/46d38'             734016/165551    1242
VLS       Vals                                 dkl010h0         MeteoSchweiz                                       9d11'/46d38'             734016/165551    1242
VEV       Vevey / Corseaux                     fkl010h0         MeteoSchweiz                                       6d49'/46d28'             552106/146847    405
VEV       Vevey / Corseaux                     dkl010h0         MeteoSchweiz                                       6d49'/46d28'             552106/146847    405
VIO       Vicosoprano                          fkl010h0         MeteoSchweiz                                       9d38'/46d21'             768485/135866    1089
VIO       Vicosoprano                          dkl010h0         MeteoSchweiz                                       9d38'/46d21'             768485/135866    1089
VIT       Villars-Tiercelin                    fkl010h0         MeteoSchweiz                                       6d43'/46d37'             544198/163650    859
VIT       Villars-Tiercelin                    dkl010h0         MeteoSchweiz                                       6d43'/46d37'             544198/163650    859
GUE       Gütsch, Andermatt                    fkl010h1         MeteoSchweiz                                       8d37'/46d39'             690050/167475    2286
GUE       Gütsch, Andermatt                    fkl010h0         MeteoSchweiz                                       8d37'/46d39'             690050/167475    2286
GUE       Gütsch, Andermatt                    dkl010h0         MeteoSchweiz                                       8d37'/46d39'             690050/167475    2286
JUN       Jungfraujoch                         fkl010h1         MeteoSchweiz                                       7d59'/46d33'             641938/155287    3571
JUN       Jungfraujoch                         fkl010h0         MeteoSchweiz                                       7d59'/46d33'             641938/155287    3571
JUN       Jungfraujoch                         dkl010h0         MeteoSchweiz                                       7d59'/46d33'             641938/155287    3571
PIL       Pilatus                              fkl010h1         MeteoSchweiz                                       8d15'/46d59'             661903/203410    2105
PIL       Pilatus                              fkl010h0         MeteoSchweiz                                       8d15'/46d59'             661903/203410    2105
PIL       Pilatus                              dkl010h0         MeteoSchweiz                                       8d15'/46d59'             661903/203410    2105
COV       Piz Corvatsch                        fkl010h1         MeteoSchweiz                                       9d49'/46d25'             783154/143524    3294
COV       Piz Corvatsch                        fkl010h0         MeteoSchweiz                                       9d49'/46d25'             783154/143524    3294
COV       Piz Corvatsch                        dkl010h0         MeteoSchweiz                                       9d49'/46d25'             783154/143524    3294
SAE       Säntis                               fkl010h1         MeteoSchweiz                                       9d21'/47d15'             744187/234920    2501
